arm,seed,survived,alive,faithful,sloppy,share_f,births_f,births_s,miscopies,g_alpha,g_target,qmarks,exact
beneficial,1,True,18,16,2,0.8888888888888888,57,32,16,21,2,1,True
beneficial,2,True,13,15,3,0.8333333333333334,69,18,7,21,2,1,True
beneficial,3,True,18,7,0,1.0,60,17,3,23,0,1,True
beneficial,4,True,17,10,11,0.47619047619047616,49,39,22,16,5,3,True
beneficial,5,True,18,0,16,0.0,11,87,41,10,14,0,True
beneficial,6,True,17,8,7,0.5333333333333333,42,55,15,14,9,1,True
beneficial,7,True,17,6,10,0.375,41,45,27,13,10,1,True
beneficial,8,True,14,3,10,0.23076923076923078,31,80,22,11,10,3,True
beneficial,9,True,16,11,9,0.55,79,50,13,8,13,3,True
beneficial,10,True,20,10,7,0.5882352941176471,62,38,16,7,17,0,True
beneficial,11,True,20,12,6,0.6666666666666666,67,42,18,7,17,0,True
beneficial,12,True,21,0,15,0.0,15,68,33,17,5,2,True
beneficial,13,True,16,0,21,0.0,20,110,31,5,16,3,True
beneficial,14,True,16,5,10,0.3333333333333333,37,54,25,14,7,3,True
beneficial,15,True,17,18,0,1.0,83,21,9,13,10,1,True
beneficial,16,True,20,17,0,1.0,80,4,2,22,0,2,True
beneficial,17,True,17,18,2,0.9,80,35,10,10,13,1,True
beneficial,18,True,14,18,0,1.0,83,13,6,16,7,1,True
beneficial,19,True,16,1,18,0.05263157894736842,15,125,30,13,10,1,True
beneficial,20,True,20,7,13,0.35,63,49,16,17,5,2,True
beneficial,21,True,17,10,10,0.5,46,51,19,15,7,2,True
beneficial,22,True,16,9,11,0.45,41,39,30,12,7,5,True
beneficial,23,True,13,2,18,0.1,25,67,28,15,8,1,True
beneficial,24,True,13,1,20,0.047619047619047616,29,66,21,7,16,1,True
beneficial,25,True,18,20,2,0.9090909090909091,90,26,9,3,19,2,True
beneficial,26,True,19,12,7,0.631578947368421,53,50,22,7,14,3,True
beneficial,27,True,18,4,14,0.2222222222222222,33,56,23,9,13,2,True
beneficial,28,True,15,10,12,0.45454545454545453,41,52,17,16,7,1,True
beneficial,29,True,19,19,0,1.0,98,9,8,15,6,3,True
beneficial,30,True,12,12,6,0.6666666666666666,52,35,13,7,14,3,True
beneficial,31,True,20,0,23,0.0,5,118,39,7,17,0,True
