stage,cell,seed,dom
ow2,ab_c,1,DEAD
ow2,ab_c,2,DEAD
ow2,ab_c,3,DEAD
ow2,ab_c,4,DEAD
ow2,ab_c,5,DEAD
ow2,ab_c,6,DEAD
ow2,ab_c,7,DEAD
ow2,ab_c,8,DEAD
ow2,ab_c,9,DEAD
ow2,ab_c,10,DEAD
ow2,ab_c,11,DEAD
ow2,ab_c,12,DEAD
ow2,ab_c,13,DEAD
ow2,ab_c,14,DEAD
ow2,ab_c,15,DEAD
ow2,ab_c,16,DEAD
ow2,ab_c,17,DEAD
ow2,ab_c,18,DEAD
ow2,ab_c,19,DEAD
ow2,ab_c,20,DEAD
ow2,ab_c,21,DEAD
ow2,ab_c,22,DEAD
ow2,ab_c,23,DEAD
ow2,ab_c,24,DEAD
ow2,ab_c,25,DEAD
ow2,ab_c,26,DEAD
ow2,ab_c,27,DEAD
ow2,ab_c,28,DEAD
ow2,ab_c,29,DEAD
ow2,ab_c,30,DEAD
ow2,ab_t,1,α
ow2,ab_t,2,α
ow2,ab_t,3,β
ow2,ab_t,4,α
ow2,ab_t,5,β
ow2,ab_t,6,β
ow2,ab_t,7,β
ow2,ab_t,8,α
ow2,ab_t,9,α
ow2,ab_t,10,α
ow2,ab_t,11,β
ow2,ab_t,12,α
ow2,ab_t,13,β
ow2,ab_t,14,α
ow2,ab_t,15,α
ow2,ab_t,16,β
ow2,ab_t,17,α
ow2,ab_t,18,α
ow2,ab_t,19,β
ow2,ab_t,20,α
ow2,ab_t,21,α
ow2,ab_t,22,α
ow2,ab_t,23,α
ow2,ab_t,24,β
ow2,ab_t,25,β
ow2,ab_t,26,β
ow2,ab_t,27,α
ow2,ab_t,28,β
ow2,ab_t,29,α
ow2,ab_t,30,α
ow2,ab_t,31,α
ow2,ab_t,32,β
ow2,ab_t,33,α
ow2,ab_t,34,α
ow2,ab_t,35,α
ow2,ab_t,36,β
ow2,ab_t,37,α
ow2,ab_t,38,α
ow2,ab_t,39,α
ow2,ab_t,40,β
ow2,ab_t,41,β
