arena,w,seed,dom
free,1.0,1,α
free,1.0,2,β
free,1.0,3,α
free,1.0,4,α
free,1.0,5,β
free,1.0,6,β
free,1.0,7,α
free,1.0,8,α
free,1.0,9,α
free,1.0,10,α
free,1.0,11,β
free,1.0,12,β
free,1.0,13,β
free,1.0,14,α
free,1.0,15,α
free,1.0,16,β
free,1.0,17,α
free,1.0,18,α
free,1.0,19,β
free,1.0,20,α
free,1.0,21,α
free,1.0,22,α
free,1.0,23,α
free,1.0,24,β
free,1.0,25,α
free,1.0,26,α
free,1.0,27,α
free,1.0,28,β
free,1.0,29,α
free,1.0,30,α
free,1.0,31,α
free,1.0,32,α
free,1.0,33,α
free,1.0,34,α
free,1.0,35,α
free,1.0,36,β
free,1.0,37,α
free,1.0,38,α
free,1.0,39,α
free,1.0,40,β
free,1.0,41,β
free,1.0,42,α
free,1.0,43,α
free,1.0,44,β
free,1.0,45,α
free,1.0,46,α
free,1.0,47,α
free,1.0,48,α
free,1.0,49,β
free,1.0,50,α
free,1.0,51,β
free,1.0,52,α
free,1.0,53,α
free,1.0,54,β
free,1.0,55,α
free,1.0,56,α
free,1.0,57,β
free,1.0,58,α
free,1.0,59,α
free,1.0,60,β
free,1.0,61,β
free,1.0,62,α
free,1.0,63,α
free,1.0,64,α
free,1.0,65,β
free,1.0,66,α
free,1.0,67,α
free,1.0,68,α
free,1.0,69,α
free,1.0,70,α
free,1.0,71,β
free,1.0,72,α
free,1.0,73,α
free,1.0,74,β
free,1.0,75,α
free,1.0,76,β
free,1.0,77,α
free,1.0,78,α
free,1.0,79,β
free,1.0,80,α
free,1.0,81,β
free,1.0,82,β
free,1.0,83,α
free,1.0,84,α
free,1.0,85,β
free,1.0,86,β
free,1.0,87,α
free,1.0,88,α
free,1.0,89,β
free,1.0,90,α
free,1.0,91,α
free,1.0,92,α
free,1.0,93,β
free,1.0,94,α
free,1.0,95,β
free,1.0,96,α
free,1.0,97,β
free,1.0,98,α
free,1.0,99,α
free,1.0,100,β
free,1.25,1,β
free,1.25,2,α
free,1.25,3,α
free,1.25,4,β
free,1.25,5,β
free,1.25,6,β
free,1.25,7,β
free,1.25,8,α
free,1.25,9,β
free,1.25,10,β
free,1.25,11,β
free,1.25,12,β
free,1.25,13,β
free,1.25,14,β
free,1.25,15,β
free,1.25,16,β
free,1.25,17,β
free,1.25,18,β
free,1.25,19,β
free,1.25,20,α
free,1.25,21,β
free,1.25,22,α
free,1.25,23,α
free,1.25,24,β
free,1.25,25,β
free,1.25,26,β
free,1.25,27,β
free,1.25,28,β
free,1.25,29,β
free,1.25,30,β
free,1.25,31,α
free,1.25,32,α
free,1.25,33,α
free,1.25,34,β
free,1.25,35,β
free,1.25,36,β
free,1.25,37,α
free,1.25,38,β
free,1.25,39,β
free,1.25,40,β
free,1.25,41,β
free,1.25,42,β
free,1.25,43,β
free,1.25,44,β
free,1.25,45,β
free,1.25,46,β
free,1.25,47,β
free,1.25,48,β
free,1.25,49,β
free,1.25,50,β
free,1.25,51,β
free,1.25,52,β
free,1.25,53,β
free,1.25,54,β
free,1.25,55,α
free,1.25,56,β
free,1.25,57,β
free,1.25,58,β
free,1.25,59,β
free,1.25,60,α
free,1.25,61,β
free,1.25,62,β
free,1.25,63,β
free,1.25,64,β
free,1.25,65,β
free,1.25,66,β
free,1.25,67,α
free,1.25,68,β
free,1.25,69,β
free,1.25,70,β
free,1.25,71,β
free,1.25,72,β
free,1.25,73,β
free,1.25,74,β
free,1.25,75,β
free,1.25,76,β
free,1.25,77,β
free,1.25,78,β
free,1.25,79,β
free,1.25,80,β
free,1.25,81,β
free,1.25,82,β
free,1.25,83,β
free,1.25,84,β
free,1.25,85,β
free,1.25,86,β
free,1.25,87,β
free,1.25,88,β
free,1.25,89,β
free,1.25,90,β
free,1.25,91,β
free,1.25,92,β
free,1.25,93,β
free,1.25,94,α
free,1.25,95,α
free,1.25,96,β
free,1.25,97,β
free,1.25,98,β
free,1.25,99,β
free,1.25,100,β
free,1.5,1,β
free,1.5,2,β
free,1.5,3,β
free,1.5,4,β
free,1.5,5,β
free,1.5,6,β
free,1.5,7,β
free,1.5,8,β
free,1.5,9,β
free,1.5,10,β
free,1.5,11,β
free,1.5,12,β
free,1.5,13,β
free,1.5,14,β
free,1.5,15,β
free,1.5,16,β
free,1.5,17,β
free,1.5,18,β
free,1.5,19,β
free,1.5,20,β
free,1.5,21,β
free,1.5,22,β
free,1.5,23,β
free,1.5,24,β
free,1.5,25,β
free,1.5,26,β
free,1.5,27,β
free,1.5,28,β
free,1.5,29,β
free,1.5,30,β
free,1.5,31,β
free,1.5,32,β
free,1.5,33,β
free,1.5,34,β
free,1.5,35,β
free,1.5,36,β
free,1.5,37,β
free,1.5,38,β
free,1.5,39,β
free,1.5,40,β
free,1.5,41,β
free,1.5,42,β
free,1.5,43,β
free,1.5,44,β
free,1.5,45,β
free,1.5,46,β
free,1.5,47,β
free,1.5,48,β
free,1.5,49,β
free,1.5,50,β
free,1.5,51,β
free,1.5,52,β
free,1.5,53,β
free,1.5,54,β
free,1.5,55,β
free,1.5,56,β
free,1.5,57,β
free,1.5,58,β
free,1.5,59,β
free,1.5,60,β
free,1.5,61,β
free,1.5,62,α
free,1.5,63,β
free,1.5,64,β
free,1.5,65,β
free,1.5,66,β
free,1.5,67,β
free,1.5,68,β
free,1.5,69,β
free,1.5,70,β
free,1.5,71,β
free,1.5,72,β
free,1.5,73,β
free,1.5,74,β
free,1.5,75,β
free,1.5,76,β
free,1.5,77,β
free,1.5,78,β
free,1.5,79,β
free,1.5,80,β
free,1.5,81,β
free,1.5,82,β
free,1.5,83,β
free,1.5,84,β
free,1.5,85,β
free,1.5,86,β
free,1.5,87,β
free,1.5,88,β
free,1.5,89,β
free,1.5,90,β
free,1.5,91,β
free,1.5,92,β
free,1.5,93,β
free,1.5,94,β
free,1.5,95,β
free,1.5,96,β
free,1.5,97,β
free,1.5,98,β
free,1.5,99,β
free,1.5,100,β
free,2.0,1,β
free,2.0,2,β
free,2.0,3,β
free,2.0,4,β
free,2.0,5,β
free,2.0,6,β
free,2.0,7,β
free,2.0,8,β
free,2.0,9,β
free,2.0,10,β
free,2.0,11,β
free,2.0,12,β
free,2.0,13,β
free,2.0,14,β
free,2.0,15,β
free,2.0,16,β
free,2.0,17,β
free,2.0,18,β
free,2.0,19,β
free,2.0,20,β
free,2.0,21,β
free,2.0,22,β
free,2.0,23,β
free,2.0,24,β
free,2.0,25,β
free,2.0,26,β
free,2.0,27,β
free,2.0,28,β
free,2.0,29,β
free,2.0,30,β
free,2.0,31,β
free,2.0,32,β
free,2.0,33,β
free,2.0,34,β
free,2.0,35,β
free,2.0,36,β
free,2.0,37,β
free,2.0,38,β
free,2.0,39,β
free,2.0,40,β
free,2.0,41,β
free,2.0,42,β
free,2.0,43,β
free,2.0,44,β
free,2.0,45,β
free,2.0,46,β
free,2.0,47,β
free,2.0,48,β
free,2.0,49,β
free,2.0,50,β
free,2.0,51,β
free,2.0,52,β
free,2.0,53,β
free,2.0,54,β
free,2.0,55,β
free,2.0,56,β
free,2.0,57,β
free,2.0,58,β
free,2.0,59,β
free,2.0,60,β
free,2.0,61,β
free,2.0,62,β
free,2.0,63,β
free,2.0,64,β
free,2.0,65,β
free,2.0,66,β
free,2.0,67,β
free,2.0,68,β
free,2.0,69,β
free,2.0,70,β
free,2.0,71,β
free,2.0,72,β
free,2.0,73,β
free,2.0,74,β
free,2.0,75,β
free,2.0,76,β
free,2.0,77,β
free,2.0,78,β
free,2.0,79,β
